"","final_sitename","latitude.dd.","longitude.dd.","survey_rep","year","final_classification","percent_cover","rank_overall"
"37","Port Mary AK",57.1542333,-135.75452,1,2003,"ralfsiaceae",0.6429,17
"38","Port Mary AK",57.1542333,-135.75452,1,2003,"encrusting coralline",0.2857,7
"39","Port Mary AK",57.1542333,-135.75452,1,2003,"mazzaella cordata/splendens",0.0714,11
"40","Port Mary AK",57.1542333,-135.75452,1,2003,"petrocelis spp",0.0714,12
"41","Puffin Bay AK",56.25735,-134.81857,1,2007,"rock",32.7915,1
"42","Puffin Bay AK",56.25735,-134.81857,1,2007,"alaria nana",16.1131,27
"43","Puffin Bay AK",56.25735,-134.81857,1,2007,"semibalanus cariosus",6.6431,21
"44","Puffin Bay AK",56.25735,-134.81857,1,2007,"petrocelis spp",4.4523,12
"45","Puffin Bay AK",56.25735,-134.81857,1,2007,"corallina spp",2.6148,3
"46","Puffin Bay AK",56.25735,-134.81857,1,2007,"balanus glandula",1.6254,6
"47","Puffin Bay AK",56.25735,-134.81857,1,2007,"endocladia muricata",1.3428,5
"48","Puffin Bay AK",56.25735,-134.81857,1,2007,"mytilus californianus",1.1307,2
"49","Puffin Bay AK",56.25735,-134.81857,1,2007,"chthamalus spp",0.636,4
"50","Puffin Bay AK",56.25735,-134.81857,1,2007,"fucus spp",0.212,22
"51","Puffin Bay AK",56.25735,-134.81857,1,2007,"encrusting coralline",0.1413,7
"52","Puffin Bay AK",56.25735,-134.81857,1,2007,"mastocarpus papillatus",0.0707,14
"53","Coronation Island AK",55.9287667,-134.33692,1,2007,"alaria nana",20.6447,27
"54","Coronation Island AK",55.9287667,-134.33692,1,2007,"rock",15.2949,1
"55","Coronation Island AK",55.9287667,-134.33692,1,2007,"corallina spp",11.3855,3
"56","Coronation Island AK",55.9287667,-134.33692,1,2007,"petrocelis spp",5.144,12
"57","Coronation Island AK",55.9287667,-134.33692,1,2007,"semibalanus cariosus",2.4005,21
"58","Coronation Island AK",55.9287667,-134.33692,1,2007,"mytilus californianus",1.6461,2
"59","Coronation Island AK",55.9287667,-134.33692,1,2007,"endocladia muricata",1.4403,5
"60","Coronation Island AK",55.9287667,-134.33692,1,2007,"encrusting coralline",1.3717,7
"61","Coronation Island AK",55.9287667,-134.33692,1,2007,"chthamalus spp",1.0288,4
"62","Coronation Island AK",55.9287667,-134.33692,1,2007,"fucus spp",0.4115,22
"63","Coronation Island AK",55.9287667,-134.33692,1,2007,"balanus glandula",0.3429,6
"64","Coronation Island AK",55.9287667,-134.33692,1,2007,"mastocarpus papillatus",0.2058,14
"65","Coronation Island AK",55.9287667,-134.33692,1,2007,"mazzaella cordata/splendens",0.1372,11
"66","Tow Hill BC",54.0782,-131.7948,1,2005,"semibalanus cariosus",31.8848,21
"67","Tow Hill BC",54.0782,-131.7948,1,2005,"balanus glandula",9.3482,6
"68","Tow Hill BC",54.0782,-131.7948,1,2005,"rock",7.4785,1
"69","Tow Hill BC",54.0782,-131.7948,1,2005,"alaria nana",6.5184,27
"70","Tow Hill BC",54.0782,-131.7948,1,2005,"sand",2.5265,10
"71","Tow Hill BC",54.0782,-131.7948,1,2005,"chthamalus spp",1.7686,4
"72","Tow Hill BC",54.0782,-131.7948,1,2005,"corallina spp",1.4654,3
"73","Tow Hill BC",54.0782,-131.7948,1,2005,"encrusting coralline",0.6064,7
"74","Tow Hill BC",54.0782,-131.7948,1,2005,"fucus spp",0.6064,22
"75","Tow Hill BC",54.0782,-131.7948,1,2005,"petrocelis spp",0.5558,12
"76","Tow Hill BC",54.0782,-131.7948,1,2005,"mastocarpus papillatus",0.4548,14
"77","Tow Hill BC",54.0782,-131.7948,1,2005,"endocladia muricata",0.2021,5
"78","Tow Hill BC",54.0782,-131.7948,1,2005,"mazzaella cordata/splendens",0.1516,11
"79","Tow Hill BC",54.0782,-131.7948,1,2005,"phyllospadix scouleri",0.1011,15
"80","Tow Hill BC",54.0782,-131.7948,1,2005,"ralfsiaceae",0.1011,17
"81","Tow Hill BC",54.0782,-131.7948,1,2005,"anthopleura elegantissima",0.0505,23
"82","Hippa Island BC",53.54635,-132.99553,1,2005,"mytilus californianus",20.882,2
"83","Hippa Island BC",53.54635,-132.99553,1,2005,"corallina spp",7.8108,3
"84","Hippa Island BC",53.54635,-132.99553,1,2005,"alaria nana",7.5452,27
"85","Hippa Island BC",53.54635,-132.99553,1,2005,"semibalanus cariosus",6.2168,21
"86","Hippa Island BC",53.54635,-132.99553,1,2005,"phyllospadix scouleri",5.6854,15
"87","Hippa Island BC",53.54635,-132.99553,1,2005,"encrusting coralline",3.5069,7
"88","Hippa Island BC",53.54635,-132.99553,1,2005,"fucus spp",3.4538,22
"89","Hippa Island BC",53.54635,-132.99553,1,2005,"endocladia muricata",3.135,5
"90","Hippa Island BC",53.54635,-132.99553,1,2005,"rock",2.0191,1
"91","Hippa Island BC",53.54635,-132.99553,1,2005,"petrocelis spp",1.3284,12
"92","Hippa Island BC",53.54635,-132.99553,1,2005,"mastocarpus papillatus",1.3284,14
"93","Hippa Island BC",53.54635,-132.99553,1,2005,"balanus glandula",0.4782,6
"94","Hippa Island BC",53.54635,-132.99553,1,2005,"ralfsiaceae",0.4782,17
"95","Hippa Island BC",53.54635,-132.99553,1,2005,"mazzaella cordata/splendens",0.2657,11
"96","Hippa Island BC",53.54635,-132.99553,1,2005,"chthamalus spp",0.1594,4
"97","Hippa Island BC",53.54635,-132.99553,1,2005,"phyllospadix torreyi",0.1063,8
"98","Hippa Island BC",53.54635,-132.99553,1,2005,"anthopleura elegantissima",0.0531,23
"99","Duck Island BC",51.9047333,-128.48108,1,2005,"corallina spp",16.7379,3
"100","Duck Island BC",51.9047333,-128.48108,1,2005,"mytilus californianus",12.5229,2
"101","Duck Island BC",51.9047333,-128.48108,1,2005,"phyllospadix scouleri",11.9731,15
"102","Duck Island BC",51.9047333,-128.48108,1,2005,"balanus glandula",6.7807,6
"103","Duck Island BC",51.9047333,-128.48108,1,2005,"chthamalus spp",5.6811,4
"104","Duck Island BC",51.9047333,-128.48108,1,2005,"rock",4.5816,1
"105","Duck Island BC",51.9047333,-128.48108,1,2005,"endocladia muricata",3.9707,5
"106","Duck Island BC",51.9047333,-128.48108,1,2005,"semibalanus cariosus",3.1155,21
"107","Duck Island BC",51.9047333,-128.48108,1,2005,"fucus spp",2.7489,22
"108","Duck Island BC",51.9047333,-128.48108,1,2005,"encrusting coralline",2.1991,7
"109","Duck Island BC",51.9047333,-128.48108,1,2005,"petrocelis spp",1.6494,12
"110","Duck Island BC",51.9047333,-128.48108,1,2005,"mazzaella cordata/splendens",1.3439,11
"111","Duck Island BC",51.9047333,-128.48108,1,2005,"alaria nana",0.672,27
"112","Duck Island BC",51.9047333,-128.48108,1,2005,"mastocarpus papillatus",0.3665,14
"113","Duck Island BC",51.9047333,-128.48108,1,2005,"anthopleura elegantissima",0.1222,23
"114","Palmerston BC",50.60115,-128.27105,1,2003,"corallina spp",13.0303,3
"115","Palmerston BC",50.60115,-128.27105,1,2003,"rock",11.4545,1
"116","Palmerston BC",50.60115,-128.27105,1,2003,"phyllospadix scouleri",11.0303,15
"117","Palmerston BC",50.60115,-128.27105,1,2003,"chthamalus spp",7.5758,4
"118","Palmerston BC",50.60115,-128.27105,1,2003,"mytilus californianus",4.6667,2
"119","Palmerston BC",50.60115,-128.27105,1,2003,"mazzaella cordata/splendens",4.0606,11
"120","Palmerston BC",50.60115,-128.27105,1,2003,"encrusting coralline",2.7879,7
"121","Palmerston BC",50.60115,-128.27105,1,2003,"endocladia muricata",2.4848,5
"122","Palmerston BC",50.60115,-128.27105,1,2003,"balanus glandula",2.4242,6
"123","Palmerston BC",50.60115,-128.27105,1,2003,"ralfsiaceae",1.1515,17
"124","Palmerston BC",50.60115,-128.27105,1,2003,"petrocelis spp",0.8485,12
"125","Palmerston BC",50.60115,-128.27105,1,2003,"fucus spp",0.6667,22
"126","Palmerston BC",50.60115,-128.27105,1,2003,"mastocarpus papillatus",0.3636,14
"127","Palmerston BC",50.60115,-128.27105,1,2003,"semibalanus cariosus",0.2424,21
"128","Little Ohiat BC",48.85275,-125.18252,1,2003,"balanus glandula",14.5116,6
"129","Little Ohiat BC",48.85275,-125.18252,1,2003,"rock",10.8413,1
"130","Little Ohiat BC",48.85275,-125.18252,1,2003,"phyllospadix scouleri",8.978,15
"131","Little Ohiat BC",48.85275,-125.18252,1,2003,"mytilus californianus",8.0181,2
"132","Little Ohiat BC",48.85275,-125.18252,1,2003,"corallina spp",4.856,3
"133","Little Ohiat BC",48.85275,-125.18252,1,2003,"fucus spp",4.4043,22
"134","Little Ohiat BC",48.85275,-125.18252,1,2003,"chthamalus spp",3.6138,4
"135","Little Ohiat BC",48.85275,-125.18252,1,2003,"semibalanus cariosus",3.3879,21
"136","Little Ohiat BC",48.85275,-125.18252,1,2003,"encrusting coralline",2.2586,7
"137","Little Ohiat BC",48.85275,-125.18252,1,2003,"anthopleura elegantissima",1.6375,23
"138","Little Ohiat BC",48.85275,-125.18252,1,2003,"mazzaella cordata/splendens",1.1858,11
"139","Little Ohiat BC",48.85275,-125.18252,1,2003,"ralfsiaceae",0.9034,17
"140","Little Ohiat BC",48.85275,-125.18252,1,2003,"petrocelis spp",0.7905,12
"141","Little Ohiat BC",48.85275,-125.18252,1,2003,"mastocarpus papillatus",0.6211,14
"142","Little Ohiat BC",48.85275,-125.18252,1,2003,"endocladia muricata",0.4517,5
"143","Cannonball Island",48.1708239,-124.73611,1,2002,"fucus spp",18.7465,22
"144","Cannonball Island",48.1708239,-124.73611,1,2002,"rock",13.3184,1
"145","Cannonball Island",48.1708239,-124.73611,1,2002,"mastocarpus papillatus",7.5546,14
"146","Cannonball Island",48.1708239,-124.73611,1,2002,"petrocelis spp",4.5327,12
"147","Cannonball Island",48.1708239,-124.73611,1,2002,"endocladia muricata",3.3576,5
"148","Cannonball Island",48.1708239,-124.73611,1,2002,"encrusting coralline",2.1265,7
"149","Cannonball Island",48.1708239,-124.73611,1,2002,"mazzaella cordata/splendens",2.0705,11
"150","Cannonball Island",48.1708239,-124.73611,1,2002,"ralfsiaceae",2.0705,17
"151","Cannonball Island",48.1708239,-124.73611,1,2002,"corallina spp",1.7907,3
"152","Cannonball Island",48.1708239,-124.73611,1,2002,"chthamalus spp",1.5109,4
"153","Cannonball Island",48.1708239,-124.73611,1,2002,"balanus glandula",0.9513,6
"154","Cannonball Island",48.1708239,-124.73611,1,2002,"phyllospadix scouleri",0.5596,15
"155","Cannonball Island",48.1708239,-124.73611,1,2002,"anthopleura elegantissima",0.056,23
"156","Chilean Memorial",47.947116,-124.66251,1,2002,"phyllospadix scouleri",20.4094,15
"157","Chilean Memorial",47.947116,-124.66251,1,2002,"mytilus californianus",13.0042,2
"158","Chilean Memorial",47.947116,-124.66251,1,2002,"rock",11.8001,1
"159","Chilean Memorial",47.947116,-124.66251,1,2002,"corallina spp",9.1511,3
"160","Chilean Memorial",47.947116,-124.66251,1,2002,"balanus glandula",8.4889,6
"161","Chilean Memorial",47.947116,-124.66251,1,2002,"chthamalus spp",8.3685,4
"162","Chilean Memorial",47.947116,-124.66251,1,2002,"encrusting coralline",4.7562,7
"163","Chilean Memorial",47.947116,-124.66251,1,2002,"ralfsiaceae",2.348,17
"164","Chilean Memorial",47.947116,-124.66251,1,2002,"endocladia muricata",1.9868,5
"165","Chilean Memorial",47.947116,-124.66251,1,2002,"semibalanus cariosus",1.9266,21
"166","Chilean Memorial",47.947116,-124.66251,1,2002,"fucus spp",1.7459,22
"167","Chilean Memorial",47.947116,-124.66251,1,2002,"mazzaella cordata/splendens",0.602,11
"168","Chilean Memorial",47.947116,-124.66251,1,2002,"mastocarpus papillatus",0.3612,14
"169","Chilean Memorial",47.947116,-124.66251,1,2002,"sand",0.1806,10
"170","Chilean Memorial",47.947116,-124.66251,1,2002,"petrocelis spp",0.1806,12
"171","Chilean Memorial",47.947116,-124.66251,1,2002,"chondracanthus canaliculatus",0.1204,9
"172","Chilean Memorial",47.947116,-124.66251,1,2002,"anthopleura elegantissima",0.0602,23
"173","Taylor Point",47.8664843,-124.56794,1,2002,"fucus spp",13.6273,22
"174","Taylor Point",47.8664843,-124.56794,1,2002,"rock",10.5544,1
"175","Taylor Point",47.8664843,-124.56794,1,2002,"chthamalus spp",8.6172,4
"176","Taylor Point",47.8664843,-124.56794,1,2002,"mastocarpus papillatus",7.2144,14
"177","Taylor Point",47.8664843,-124.56794,1,2002,"balanus glandula",7.014,6
"178","Taylor Point",47.8664843,-124.56794,1,2002,"endocladia muricata",6.4128,5
"179","Taylor Point",47.8664843,-124.56794,1,2002,"phyllospadix scouleri",4.2084,15
"180","Taylor Point",47.8664843,-124.56794,1,2002,"mazzaella cordata/splendens",4.0748,11
"181","Taylor Point",47.8664843,-124.56794,1,2002,"ralfsiaceae",3.006,17
"182","Taylor Point",47.8664843,-124.56794,1,2002,"petrocelis spp",1.336,12
"183","Taylor Point",47.8664843,-124.56794,1,2002,"encrusting coralline",0.8684,7
"184","Taylor Point",47.8664843,-124.56794,1,2002,"semibalanus cariosus",0.8016,21
"185","Taylor Point",47.8664843,-124.56794,1,2002,"anthopleura elegantissima",0.6012,23
"186","Taylor Point",47.8664843,-124.56794,1,2002,"corallina spp",0.5344,3
"187","Taylor Point",47.8664843,-124.56794,1,2002,"phyllospadix torreyi",0.2004,8
"188","Taylor Point",47.8664843,-124.56794,1,2002,"mytilus californianus",0.1336,2
"189","Taylor Point",47.8664843,-124.56794,1,2002,"sand",0.1336,10
"190","Starfish Point",47.6530988,-124.39214,1,2002,"balanus glandula",29.3983,6
"191","Starfish Point",47.6530988,-124.39214,1,2002,"rock",17.5933,1
"192","Starfish Point",47.6530988,-124.39214,1,2002,"chthamalus spp",10.0533,4
"193","Starfish Point",47.6530988,-124.39214,1,2002,"anthopleura elegantissima",3.1988,23
"194","Starfish Point",47.6530988,-124.39214,1,2002,"mastocarpus papillatus",2.8941,14
"195","Starfish Point",47.6530988,-124.39214,1,2002,"mazzaella cordata/splendens",2.818,11
"196","Starfish Point",47.6530988,-124.39214,1,2002,"petrocelis spp",2.6657,12
"197","Starfish Point",47.6530988,-124.39214,1,2002,"encrusting coralline",2.2087,7
"198","Starfish Point",47.6530988,-124.39214,1,2002,"mytilus californianus",1.904,2
"199","Starfish Point",47.6530988,-124.39214,1,2002,"fucus spp",0.7616,22
"200","Starfish Point",47.6530988,-124.39214,1,2002,"corallina spp",0.6855,3
"201","Starfish Point",47.6530988,-124.39214,1,2002,"sand",0.5331,10
"202","Starfish Point",47.6530988,-124.39214,1,2002,"ralfsiaceae",0.5331,17
"203","Starfish Point",47.6530988,-124.39214,1,2002,"semibalanus cariosus",0.3808,21
"204","Starfish Point",47.6530988,-124.39214,1,2002,"endocladia muricata",0.0762,5
"205","Ecola",45.9181012,-123.98051,1,2001,"mytilus californianus",10.1172,2
"206","Ecola",45.9181012,-123.98051,1,2001,"rock",8.0197,1
"207","Ecola",45.9181012,-123.98051,1,2001,"mazzaella cordata/splendens",6.3541,11
"208","Ecola",45.9181012,-123.98051,1,2001,"balanus glandula",6.1073,6
"209","Ecola",45.9181012,-123.98051,1,2001,"phyllospadix scouleri",5.8606,15
"210","Ecola",45.9181012,-123.98051,1,2001,"corallina spp",3.393,3
"211","Ecola",45.9181012,-123.98051,1,2001,"semibalanus cariosus",3.0845,21
"212","Ecola",45.9181012,-123.98051,1,2001,"endocladia muricata",2.9611,5
"213","Ecola",45.9181012,-123.98051,1,2001,"encrusting coralline",2.7144,7
"214","Ecola",45.9181012,-123.98051,1,2001,"chthamalus spp",2.1592,4
"215","Ecola",45.9181012,-123.98051,1,2001,"phyllospadix torreyi",2.0358,8
"216","Ecola",45.9181012,-123.98051,1,2001,"anthopleura elegantissima",0.9254,23
"217","Ecola",45.9181012,-123.98051,1,2001,"ralfsiaceae",0.802,17
"218","Ecola",45.9181012,-123.98051,1,2001,"sand",0.6169,10
"219","Ecola",45.9181012,-123.98051,1,2001,"mastocarpus papillatus",0.4935,14
"220","Ecola",45.9181012,-123.98051,1,2001,"fucus spp",0.3085,22
"221","Ecola",45.9181012,-123.98051,1,2001,"petrocelis spp",0.2468,12
"222","Fogarty Creek",44.837084,-124.05778,1,2001,"rock",11.8746,1
"223","Fogarty Creek",44.837084,-124.05778,1,2001,"mytilus californianus",7.173,2
"224","Fogarty Creek",44.837084,-124.05778,1,2001,"balanus glandula",6.3894,6
"225","Fogarty Creek",44.837084,-124.05778,1,2001,"chthamalus spp",5.425,4
"226","Fogarty Creek",44.837084,-124.05778,1,2001,"phyllospadix torreyi",5.0633,8
"227","Fogarty Creek",44.837084,-124.05778,1,2001,"fucus spp",3.7372,22
"228","Fogarty Creek",44.837084,-124.05778,1,2001,"semibalanus cariosus",3.5564,21
"229","Fogarty Creek",44.837084,-124.05778,1,2001,"endocladia muricata",3.4961,5
"230","Fogarty Creek",44.837084,-124.05778,1,2001,"phyllospadix scouleri",2.7728,15
"231","Fogarty Creek",44.837084,-124.05778,1,2001,"corallina spp",2.3508,3
"232","Fogarty Creek",44.837084,-124.05778,1,2001,"mazzaella cordata/splendens",2.0494,11
"233","Fogarty Creek",44.837084,-124.05778,1,2001,"mastocarpus papillatus",1.8083,14
"234","Fogarty Creek",44.837084,-124.05778,1,2001,"sand",1.748,10
"235","Fogarty Creek",44.837084,-124.05778,1,2001,"encrusting coralline",1.6275,7
"236","Fogarty Creek",44.837084,-124.05778,1,2001,"ralfsiaceae",0.7836,17
"237","Fogarty Creek",44.837084,-124.05778,1,2001,"petrocelis spp",0.6028,12
"238","Fogarty Creek",44.837084,-124.05778,1,2001,"anthopleura elegantissima",0.1808,23
"239","Bob Creek",44.2446399,-124.1143,1,2001,"balanus glandula",17.6384,6
"240","Bob Creek",44.2446399,-124.1143,1,2001,"mytilus californianus",12.6937,2
"241","Bob Creek",44.2446399,-124.1143,1,2001,"rock",9.2251,1
"242","Bob Creek",44.2446399,-124.1143,1,2001,"fucus spp",3.3948,22
"243","Bob Creek",44.2446399,-124.1143,1,2001,"chthamalus spp",3.2472,4
"244","Bob Creek",44.2446399,-124.1143,1,2001,"sand",3.0996,10
"245","Bob Creek",44.2446399,-124.1143,1,2001,"phyllospadix scouleri",2.6568,15
"246","Bob Creek",44.2446399,-124.1143,1,2001,"corallina spp",2.3616,3
"247","Bob Creek",44.2446399,-124.1143,1,2001,"endocladia muricata",2.1402,5
"248","Bob Creek",44.2446399,-124.1143,1,2001,"mazzaella cordata/splendens",1.9926,11
"249","Bob Creek",44.2446399,-124.1143,1,2001,"phyllospadix torreyi",1.3284,8
"250","Bob Creek",44.2446399,-124.1143,1,2001,"ralfsiaceae",1.2546,17
"251","Bob Creek",44.2446399,-124.1143,1,2001,"encrusting coralline",1.0332,7
"252","Bob Creek",44.2446399,-124.1143,1,2001,"mastocarpus papillatus",0.738,14
"253","Bob Creek",44.2446399,-124.1143,1,2001,"semibalanus cariosus",0.4428,21
"254","Bob Creek",44.2446399,-124.1143,1,2001,"petrocelis spp",0.2214,12
"255","Bob Creek",44.2446399,-124.1143,1,2001,"anthopleura elegantissima",0.2214,23
"256","Cape Arago",43.3089385,-124.40074,1,2001,"rock",19.504,1
"257","Cape Arago",43.3089385,-124.40074,1,2001,"balanus glandula",16.555,6
"258","Cape Arago",43.3089385,-124.40074,1,2001,"mytilus californianus",9.6515,2
"259","Cape Arago",43.3089385,-124.40074,1,2001,"corallina spp",5.2279,3
"260","Cape Arago",43.3089385,-124.40074,1,2001,"chthamalus spp",4.5576,4
"261","Cape Arago",43.3089385,-124.40074,1,2001,"encrusting coralline",3.7534,7
"262","Cape Arago",43.3089385,-124.40074,1,2001,"mazzaella cordata/splendens",3.2172,11
"263","Cape Arago",43.3089385,-124.40074,1,2001,"mastocarpus papillatus",1.8097,14
"264","Cape Arago",43.3089385,-124.40074,1,2001,"endocladia muricata",1.6756,5
"265","Cape Arago",43.3089385,-124.40074,1,2001,"petrocelis spp",1.5416,12
"266","Cape Arago",43.3089385,-124.40074,1,2001,"fucus spp",1.2064,22
"267","Cape Arago",43.3089385,-124.40074,1,2001,"ralfsiaceae",0.4692,17
"268","Cape Arago",43.3089385,-124.40074,1,2001,"anthopleura elegantissima",0.4021,23
"269","Cape Arago",43.3089385,-124.40074,1,2001,"semibalanus cariosus",0.134,21
"270","Burnt Hill",42.2281907,-124.388,1,2002,"mytilus californianus",17.8935,2
"271","Burnt Hill",42.2281907,-124.388,1,2002,"rock",13.465,1
"272","Burnt Hill",42.2281907,-124.388,1,2002,"balanus glandula",9.8743,6
"273","Burnt Hill",42.2281907,-124.388,1,2002,"corallina spp",7.1215,3
"274","Burnt Hill",42.2281907,-124.388,1,2002,"endocladia muricata",4.4285,5
"275","Burnt Hill",42.2281907,-124.388,1,2002,"encrusting coralline",2.9324,7
"276","Burnt Hill",42.2281907,-124.388,1,2002,"ralfsiaceae",1.9749,17
"277","Burnt Hill",42.2281907,-124.388,1,2002,"mazzaella cordata/splendens",1.6756,11
"278","Burnt Hill",42.2281907,-124.388,1,2002,"semibalanus cariosus",1.6158,21
"279","Burnt Hill",42.2281907,-124.388,1,2002,"mastocarpus papillatus",1.3764,14
"280","Burnt Hill",42.2281907,-124.388,1,2002,"phyllospadix scouleri",0.8977,15
"281","Burnt Hill",42.2281907,-124.388,1,2002,"chthamalus spp",0.6583,4
"282","Burnt Hill",42.2281907,-124.388,1,2002,"phyllospadix torreyi",0.4788,8
"283","Burnt Hill",42.2281907,-124.388,1,2002,"petrocelis spp",0.4788,12
"284","Burnt Hill",42.2281907,-124.388,1,2002,"fucus spp",0.3591,22
"285","Burnt Hill",42.2281907,-124.388,1,2002,"sand",0.1197,10
"286","Burnt Hill",42.2281907,-124.388,1,2002,"anthopleura elegantissima",0.0598,23
"287","Damnation Creek",41.6528624,-124.12983,1,2004,"rock",13.1459,1
"288","Damnation Creek",41.6528624,-124.12983,1,2004,"endocladia muricata",13.1459,5
"289","Damnation Creek",41.6528624,-124.12983,1,2004,"phyllospadix scouleri",10.5623,15
"290","Damnation Creek",41.6528624,-124.12983,1,2004,"mazzaella cordata/splendens",7.0669,11
"291","Damnation Creek",41.6528624,-124.12983,1,2004,"chthamalus spp",5.8511,4
"292","Damnation Creek",41.6528624,-124.12983,1,2004,"fucus spp",4.5593,22
"293","Damnation Creek",41.6528624,-124.12983,1,2004,"mastocarpus papillatus",3.2675,14
"294","Damnation Creek",41.6528624,-124.12983,1,2004,"corallina spp",2.8875,3
"295","Damnation Creek",41.6528624,-124.12983,1,2004,"ralfsiaceae",2.8875,17
"296","Damnation Creek",41.6528624,-124.12983,1,2004,"encrusting coralline",1.3678,7
"297","Damnation Creek",41.6528624,-124.12983,1,2004,"anthopleura elegantissima",1.3678,23
"298","Damnation Creek",41.6528624,-124.12983,1,2004,"mytilus californianus",0.7599,2
"299","Damnation Creek",41.6528624,-124.12983,1,2004,"petrocelis spp",0.5319,12
"300","Damnation Creek",41.6528624,-124.12983,1,2004,"balanus glandula",0.3799,6
"301","Cape Mendocino",40.3411785,-124.36303,1,2002,"rock",18.8469,1
"302","Cape Mendocino",40.3411785,-124.36303,1,2002,"mastocarpus papillatus",9.2374,14
"303","Cape Mendocino",40.3411785,-124.36303,1,2002,"endocladia muricata",7.5015,5
"304","Cape Mendocino",40.3411785,-124.36303,1,2002,"mazzaella cordata/splendens",7.0056,11
"305","Cape Mendocino",40.3411785,-124.36303,1,2002,"balanus glandula",5.7657,6
"306","Cape Mendocino",40.3411785,-124.36303,1,2002,"fucus spp",3.7198,22
"307","Cape Mendocino",40.3411785,-124.36303,1,2002,"chthamalus spp",3.5958,4
"308","Cape Mendocino",40.3411785,-124.36303,1,2002,"corallina spp",3.4718,3
"309","Cape Mendocino",40.3411785,-124.36303,1,2002,"mytilus californianus",3.2238,2
"310","Cape Mendocino",40.3411785,-124.36303,1,2002,"encrusting coralline",2.0459,7
"311","Cape Mendocino",40.3411785,-124.36303,1,2002,"ralfsiaceae",0.744,17
"312","Cape Mendocino",40.3411785,-124.36303,1,2002,"petrocelis spp",0.372,12
"313","Cape Mendocino",40.3411785,-124.36303,1,2002,"semibalanus cariosus",0.186,21
"314","Cape Mendocino",40.3411785,-124.36303,1,2002,"sand",0.124,10
"315","Shelter Cove",40.0225298,-124.07366,1,2001,"mazzaella cordata/splendens",10.5573,11
"316","Shelter Cove",40.0225298,-124.07366,1,2001,"endocladia muricata",7.8242,5
"317","Shelter Cove",40.0225298,-124.07366,1,2001,"corallina spp",6.9668,3
